省份,风俗详情
湖北,"【武汉·杂技】

1992年建成的武汉杂技厅是中国第一座可供进行国际杂技、马戏表演的观演建筑，也是亚洲最大的杂技厅，在此举办的中国武汉国际杂技艺术节是与蒙特卡洛国际马戏节、巴黎明日国际杂技节齐名的全球三大国际杂技节，被文化部列为中国“七大对外文化交流项目”之一。"
湖北,"【武汉·工艺】

汉绣最早可以追溯到春秋战国时期，它以楚绣为基础，融汇南北诸家绣法之长，糅合出了富有鲜明地方特色的新绣法。清宣统二年（1910年）和民国四年（1915年），汉绣制品在南洋赛会和巴拿马国际博览会上获得金奖。此外，武汉还有木雕船模制作技艺等传统工艺。"
湖北,"【武汉·戏剧】

汉剧旧名楚调、汉调，约有300多年历史，有“京剧之母”的美誉。武汉地区其他剧种还有楚剧、湖北评书、湖北大鼓、湖北小曲等。另外，武汉还是中国京剧第一世家“京剧谭门”的故乡。"
湖北,"【武汉·电影】

清光绪二十九年（1903年）5月27日，美商汇喇洋行“美国精巧新奇影戏”在老跑马厅放映，电影开始在武汉出现。清光绪三十一年（1905年），单独出演中国第一部电影《定军山》的武汉人谭鑫培是中国第一个电影演员；清宣统三年（1911年），反映辛亥革命的纪录片《武汉战争》是中国最早的纪录电影。2012年，武汉成为中国院线数量最多的城市，是中国电影市场重要的票房高地。"
湖南,"【长沙·节令与民俗】

长沙过汉族的所有节日，其中一些节日有地方特色，也在一些日子有很多特有的民俗，陶公庙庙会为赶集的一大特色。

农历三月三时，长沙人都有地菜煮鸡蛋的习俗。

立夏时有吃立夏粳之习。

惊蛰时农家于暗处点灯，用石灰撤房屋四周及潮湿暗角。小孩点燃一个个爆竹，丢向屋角墙下，边丢边喊：“凉蛰惊蛰，炸得虫蚁笔直”。"
湖南,"【长沙·长沙湘剧】

长沙湘剧是湖南地方大戏中的一个主要剧种，其腔调最初以江西弋阳腔与长沙等地的民间宗教音乐结合而形成，旧称“人戏”、“大戏”。由高腔、低牌子、昆腔、弹腔4种声腔构成，用长沙方言演唱。其风格或粗犷、奔放，或委婉。 当今湘剧缺乏青少年群众为主的市场，逐渐走向没落。"
湖南,"【长沙·长沙花鼓戏】

长沙花鼓戏是长沙地区流传最广的一个剧种，唱遍大江南北，风靡海内外的花鼓戏名剧《刘海砍樵》其脍炙人口的“比古调”唱段，深受全国各地的人民群众所喜爱。"
湖南,"【长沙·长沙弹词】

长沙弹词是长沙城市曲艺的一种，它源于道情，因用长沙方言说唱，也称长沙道情，2008年入选第二批国家级非物质文化遗产名录。"
湖南,"【张家界·哭嫁】

土家姑娘的结婚喜庆之日是用哭声迎来的。新娘在结婚前半个多月就哭起，有的要哭一月有余，至少三、五日。土家人还把能够唱哭嫁歌，作为衡量女子才智和贤德的标志。哭嫁歌有“哭父母”、“哭哥嫂”、“哭伯叔”、“哭姐妹”、“哭媒人”、“哭梳头”、“哭戴花”、“哭辞爹离娘”、“哭辞祖宗”、“哭上轿”等等。少许的苗族也是哭嫁的。不过哭嫁仅是一种仪式罢了。"
湖南,"【张家界·同姓婚规】

土家族在同姓为婚的问题上十分谨慎，仅限于同姓不同宗或五服以外的通婚，五服以内通婚为大逆。事实上，即使是符合土家婚规的同姓婚姻，也还是不能为大多数土家人认同。土家族历史上的婚姻是比较自由的，男女双方经过自由恋爱，征得双方父母同意，即可结为夫妻。在恩施石窑、大山顶等地，有“女儿会”的习俗，即每年农历七月十二日，青年男女通过“女儿会”，自由恋爱，结为终身伴侣。改土归流后，土家族被迫实行父母之命、媒妁之言的包办婚姻，清乾隆《鹤峰县志》载：“至于选婿，由祖父母、父母主持，不必问女子愿否。如女子无耻，口称不愿，不妨依法决罚，一与聘定，终身莫改。”"
湖南,"【张家界·赶年】

土家族团聚过年有其独特的习俗：若腊月大则二十九过年：腊月小则二十八过年。土家人把提前一天过年称之为“赶年”。"
湖南,"【张家界·命字】

命字俗称取号，男子多用朱漆金字木匾迎亲，迎亲前一日，亲友鸣鼓奏乐将木匾送至新郎家中。父亲率新郎拜领，谓之拜号匾，拜毕将匾悬挂于堂壁，谓升号匾。升号匾要三吹三打，鸣炮奏乐。鸣炮后，设筵堂中，挑童子九人加新郎共十人，叫做“陪十兄弟”，并且称十人中新郎为“状元郎”。"
湖南,"【张家界·九子鞭】

九子鞭又叫“天神鞭”，流行于汉、白、土家各族民间，尤以白族人民最为喜爱，他们把幸福、吉祥寄托于神灵，为取悦神佑，伐深山紫竹，竹顶开孔，内置九枚铜钱，鞭长约1米到1.5米左右，大小以本人手握为适，饰以花穗赤绸，紫里带红，十分醒目。打九子鞭既可独舞，又可群舞，少则一人，多则上百。表演者手握鞭杆，伴着唢呐不停舞动。方法有单手拍，双手舞花，盘绕。时而在脚外侧或内侧拍打，时而又在肩上臂上轻敲，动作优美而粗犷。鞭杆舞动，古钱相擦，发出的响音富有韵律节奏，颇为动听。动作有“天女散花”、“姊妹相会”、“雪花盖顶”、“拦门左右”、“螃蟹夹草”等。"
湖南,"【张家界·土家祭祀】

土家人祭土地神，是为了祈求作为一方之主的土地神保佑五谷丰登和六畜兴旺，也保佑一村人平安、驱邪护村。土家人对土地神十分虔敬，凡土家族地区每村每寨都有一个或多个土地庙，随处可见。土地庙形式多种，有用大理石精心搭建的，也有用四块粗毛板搭建的简易庙或依山洞岩屋而建的土地庙。"
湖南,"【张家界·高花灯】

高花灯是流行于永定沅古坪一带富有民族特色的舞蹈。表演时，十二人至十四人不等。配有锣、钹、唢呐、鼓等乐器。每人手中拿一盏纸扎灯笼，内点蜡烛两根，顶扎一木偶像，用五色纸剪成戏文故事如“八仙”、“瓦岗寨”，“梁山英雄”之类。高花灯表演有一套程式，要求东起西落，进一个“半边月”，出一“月团圆”，舞个“太极图”。亦可进民房表演，叫“愿灯”，多为祝福、还愿或为某家喜事凑趣。打吆喝、打口哨则只能到户外表演，叫“众灯”，是让大家看的。"
湖南,"【张家界·摆手舞】

摆手舞是土家族最有影响的大型舞蹈，带有浓烈的祭祀色彩。歌随舞而生，舞随歌得名。摆手舞又名“社巴”，整个活动以祭典舞蹈、唱歌等为表演形式，以讲述人类起源，民族迁徙，英雄事迹为内容。祭礼仪式毕，由“梯玛”或掌坛师带领众人，进摆手堂或摆手坪跳摆手舞，唱摆手歌。土人作战前跳此舞以助长士气。摆手舞分单摆、双摆、大摆手、小摆手数种。跳摆手舞击大鼓、鸣大锣，气势宏浑壮阔，动人心魄。舞蹈时双手呈同边摆动，踢脚摆手，翩跹进退，成双成对，意境生动。摆手舞不仅是民间一种娱乐和健身性质的体育活动，亦是舞台上独树一帜的艺术奇葩，正是“摆手堂前艳会多，携手联袂缓行歌。鼓锣声杂喃喃语，袅袅余音嗬呓嗬。”"
湖南,"【张家界·三棒鼓】

三棒鼓，唐代称三仗鼓，约于明代传入本境，并逐渐成为群众喜闻乐见的民间艺术形式。每年春节，艺人们结伴走村串寨拜年，表演对象不分贫富，户户必到。如遇贫寒之家，表演者将别家赠送的礼品相送，意在人人过节欢喜。充分体现出土家人热情好客，心地善良的民族性格。对加强民族间团结有一定的作用。三棒鼓通常由三至五人组成，一人击鼓唱词，一人锣鼓配乐，一人耍花棒。花棒三根，长一尺，舞者左右各执一根，将另一根抛在空中，左右开弓，击打空中花棒使之不落地。"
湖南,"【湘西土家族苗族自治州·土家族婚俗】

土家族婚俗独特的地方，就是哭嫁，哭的时间长，在离开娘家的前半个月就开始哭嫁，《哭嫁歌》的内容，包括哭爹娘、哭哥嫂、哭姐妹、哭祖先、骂媒人等，多是诉说离别之情。有一人独哭，有母亲、姐妹同哭。"
湖南,"【湘西土家族苗族自治州·苗族婚俗】

苗族走婚，客家叫私奔，但苗家的走婚却与客家的私奔不同，它既风趣别致，而又纯洁古朴，表现苗族男女青年自由恋爱，反对包办的婚姻制度。苗族男女青年，是比较开朗的，他们通过走亲串友、赶边边场等活动，互相逐渐认识了，通过多次相交，加深了对对方的了解，产生了爱慕之情，这叫“初交”。再通过一段的接触交往，二人的情意加深，于是就互相交心，私自订下了终身，这种私自订终身，是没有经过说媒的，也没有经过双方父母的同意。"
湖南,"【湘西土家族苗族自治州·土家族节日】

有土家年、四月八、六月六、大端午、七月十五等。土家年，比汉族提前一天过年，月大过二十九，月小过二十八。中华人民共和国成立后，湘西土家族苗族自治州人民政府落实党的民族政策，将土家年列为地方法定节日，休假一天。"
湖南,"【湘西土家族苗族自治州·苗族节日】

苗族民间的传统节日较多，有苗年、四月八、龙舟节、吃新节、赶秋节等，其中以过苗年最为隆重。苗年相当于汉族的春节，一般在秋后举行。

为纪念湘西土家族苗族自治州成立，每年9月20日自治州成立纪念日，湘西自治州行政区域内全体公民放假2天。"
